MANDT,KUNNR,VKORG,VTWEG,SPART,ERDAT
311,1,UW00,WH,BI,2022-04-28
311,2,UW00,WH,BI,2022-01-02
311,3,UW00,BI,BI,2022-01-13
311,4,UW00,WH,BI,2022-01-12
311,5,UW00,WH,BI,2022-03-07
311,6,UW00,WH,BI,2022-11-26
311,7,UW00,WH,BI,2022-03-25
311,8,UW00,WH,BI,2022-01-22
311,9,UW00,BI,BI,2022-01-09
311,10,UW00,WH,BI,2022-03-22
311,11,UW00,WH,BI,2022-03-07
311,12,UW00,WH,BI,2022-01-24
311,13,UW00,WH,BI,2022-01-11
311,14,UW00,WH,BI,2022-08-21
311,15,UW00,WH,BI,2022-03-07
311,16,UW00,WH,BI,2022-02-24
311,17,UW00,BI,BI,2022-01-26
311,18,UW00,WH,BI,2022-03-16
311,19,UW00,BI,BI,2022-04-30
311,20,UW00,BI,BI,2022-01-20
311,21,UW00,WH,BI,2023-02-12
311,22,UW00,WH,BI,2022-01-02
311,23,UW00,BI,BI,2022-01-10
311,24,UW00,BI,BI,2022-01-06
311,25,UW00,BI,BI,2022-03-22
311,26,UW00,WH,BI,2022-01-13
311,27,UW00,WH,BI,2022-02-12
311,28,UW00,BI,BI,2022-02-21
311,29,UW00,WH,BI,2022-05-17
311,30,UW00,WH,BI,2022-01-29
311,31,UW00,BI,BI,2022-02-08
311,32,UW00,WH,BI,2022-03-14
311,33,UW00,BI,BI,2023-02-15
311,34,UW00,BI,BI,2022-02-24
311,35,UW00,BI,BI,2022-01-27
311,36,UW00,WH,BI,2022-01-31
311,37,UW00,BI,BI,2022-04-17
311,38,UW00,WH,BI,2022-02-04
311,39,UW00,BI,BI,2022-01-20
311,40,UW00,WH,BI,2022-01-03
311,41,UW00,BI,BI,2022-03-12
311,42,UW00,BI,BI,2022-02-01
311,43,UW00,WH,BI,2022-02-11
311,44,UW00,WH,BI,2022-01-09
311,45,UW00,WH,BI,2022-01-24
311,46,UW00,WH,BI,2022-01-08
311,47,UW00,BI,BI,2022-01-04
311,48,UW00,WH,BI,2022-04-27
311,49,UW00,WH,BI,2022-01-23
311,50,UW00,WH,BI,2022-05-26
311,51,UW00,BI,BI,2022-06-12
311,52,UW00,BI,BI,2022-01-02
311,53,UW00,BI,BI,2022-07-18
311,54,UW00,BI,BI,2022-02-03
311,55,UW00,WH,BI,2022-02-05
311,56,UW00,BI,BI,2022-09-07
311,57,UW00,BI,BI,2022-01-06
311,58,UW00,WH,BI,2022-01-23
311,59,UW00,BI,BI,2022-01-04
311,60,UW00,WH,BI,2022-03-31
311,61,UW00,WH,BI,2022-08-15
311,62,UW00,WH,BI,2022-06-09
311,63,UW00,WH,BI,2022-01-12
311,64,UW00,BI,BI,2022-01-28
311,65,UW00,BI,BI,2022-01-01
311,66,UW00,BI,BI,2022-05-19
311,67,UW00,WH,BI,2022-01-14
311,68,UW00,BI,BI,2022-01-10
311,69,UW00,WH,BI,2022-02-15
311,70,UW00,WH,BI,2022-01-10
311,71,UW00,WH,BI,2022-01-26
311,72,UW00,BI,BI,2022-01-07
311,73,UW00,BI,BI,2022-01-29
311,74,UW00,BI,BI,2022-02-04
311,75,UW00,WH,BI,2022-01-01
311,76,UW00,WH,BI,2022-02-02
311,77,UW00,BI,BI,2022-01-05
311,78,UW00,WH,BI,2022-05-24
311,79,UW00,BI,BI,2022-01-07
311,80,UW00,BI,BI,2022-01-18
311,81,UW00,BI,BI,2022-01-23
311,82,UW00,WH,BI,2022-01-01
311,83,UW00,BI,BI,2022-01-24
311,84,UW00,WH,BI,2022-09-20
311,85,UW00,WH,BI,2022-01-21
311,86,UW00,BI,BI,2022-01-01
311,87,UW00,BI,BI,2022-08-23
311,88,UW00,BI,BI,2022-03-06
311,89,UW00,BI,BI,2022-03-06
311,90,UW00,WH,BI,2022-02-06
311,91,UW00,WH,BI,2022-01-07
311,92,UW00,BI,BI,2022-01-07
311,93,UW00,WH,BI,2022-04-22
311,94,UW00,WH,BI,2022-01-05
311,95,UW00,WH,BI,2022-02-07
311,96,UW00,WH,BI,2022-01-01
311,97,UW00,WH,BI,2022-01-28
311,98,UW00,BI,BI,2022-01-09
311,99,UW00,WH,BI,2022-08-05
311,100,UW00,BI,BI,2022-01-20
311,101,UW00,BI,BI,2022-04-07
311,102,UW00,BI,BI,2022-02-17
311,103,UW00,BI,BI,2022-02-19
311,104,UW00,WH,BI,2022-03-15
311,105,UW00,WH,BI,2022-01-15
311,106,UW00,BI,BI,2022-01-20
311,107,UW00,BI,BI,2022-01-24
311,108,UW00,WH,BI,2022-01-30
311,109,UW00,BI,BI,2022-06-08
311,110,UW00,BI,BI,2022-01-03
311,111,UW00,WH,BI,2022-03-30
311,112,UW00,BI,BI,2022-06-26
311,113,UW00,WH,BI,2023-03-18
311,114,UW00,BI,BI,2022-01-10
311,115,UW00,WH,BI,2022-02-15
311,116,UW00,WH,BI,2022-01-03
311,117,UW00,BI,BI,2022-03-29
311,118,UW00,WH,BI,2022-02-06
311,119,UW00,WH,BI,2022-01-07
311,120,UW00,BI,BI,2022-01-12
311,121,UW00,WH,BI,2022-01-10
311,122,UW00,WH,BI,2022-05-02
311,123,UW00,BI,BI,2022-05-02
311,124,UW00,BI,BI,2022-02-09
311,125,UW00,WH,BI,2022-06-23
311,126,UW00,WH,BI,2022-02-28
311,127,UW00,BI,BI,2022-03-03
311,128,UW00,BI,BI,2022-02-25
311,129,UW00,WH,BI,2022-01-09
311,130,UW00,WH,BI,2022-01-11
311,131,UW00,WH,BI,2022-01-16
311,132,UW00,WH,BI,2022-03-15
311,133,UW00,WH,BI,2022-02-18
311,134,UW00,BI,BI,2022-01-18
311,135,UW00,WH,BI,2022-01-16
311,136,UW00,WH,BI,2022-01-15
311,137,UW00,WH,BI,2022-02-10
311,138,UW00,BI,BI,2022-01-24
311,139,UW00,WH,BI,2022-01-05
311,140,UW00,BI,BI,2022-01-25
311,141,UW00,BI,BI,2022-01-11
311,142,UW00,WH,BI,2022-01-26
311,143,UW00,WH,BI,2022-02-13
311,144,UW00,BI,BI,2022-01-28
311,145,UW00,BI,BI,2022-01-01
311,146,UW00,BI,BI,2022-01-14
311,147,UW00,BI,BI,2022-06-06
311,148,UW00,BI,BI,2022-01-15
311,149,UW00,WH,BI,2022-02-04
311,150,UW00,WH,BI,2022-10-12
311,151,UW00,WH,BI,2022-01-09
311,152,UW00,WH,BI,2022-01-20
311,153,UW00,BI,BI,2022-04-12
311,154,UW00,WH,BI,2022-08-09
311,155,UW00,WH,BI,2022-03-26
311,156,UW00,WH,BI,2022-01-16
311,157,UW00,WH,BI,2022-02-04
311,158,UW00,WH,BI,2022-01-15
311,159,UW00,WH,BI,2022-01-18
311,160,UW00,WH,BI,2022-01-20
311,161,UW00,WH,BI,2022-04-07
311,162,UW00,WH,BI,2022-01-11
311,163,UW00,BI,BI,2022-03-02
311,164,UW00,WH,BI,2022-03-01
311,165,UW00,WH,BI,2022-03-31
311,166,UW00,BI,BI,2022-01-08
311,167,UW00,BI,BI,2022-01-13
311,168,UW00,WH,BI,2022-01-24
311,169,UW00,WH,BI,2022-04-16
311,170,UW00,BI,BI,2022-01-10
311,171,UW00,WH,BI,2022-03-10
311,172,UW00,BI,BI,2022-02-04
311,173,UW00,BI,BI,2022-01-01
311,174,UW00,WH,BI,2022-02-27
311,175,UW00,WH,BI,2022-01-02
311,176,UW00,WH,BI,2022-11-03
311,177,UW00,BI,BI,2022-05-23
311,178,UW00,BI,BI,2022-03-02
311,179,UW00,BI,BI,2022-01-21
311,180,UW00,BI,BI,2022-02-04
311,181,UW00,BI,BI,2022-01-01
311,182,UW00,WH,BI,2022-01-08
311,183,UW00,WH,BI,2022-03-29
311,184,UW00,WH,BI,2022-09-24
311,185,UW00,BI,BI,2022-02-22
311,186,UW00,BI,BI,2022-01-21
311,187,UW00,WH,BI,2022-08-18
311,188,UW00,WH,BI,2022-01-13
311,189,UW00,WH,BI,2022-02-08
311,190,UW00,WH,BI,2022-01-27
311,191,UW00,BI,BI,2022-01-02
311,192,UW00,WH,BI,2022-01-10
311,193,UW00,BI,BI,2022-01-22
311,194,UW00,WH,BI,2022-01-03
311,195,UW00,BI,BI,2022-01-19
311,196,UW00,BI,BI,2022-02-04
311,197,UW00,WH,BI,2022-01-05
311,198,UW00,WH,BI,2022-07-04
311,199,UW00,BI,BI,2022-04-20
311,200,UW00,WH,BI,2022-06-11
311,201,UW00,WH,BI,2022-01-05
311,202,UW00,WH,BI,2022-08-26
311,203,UW00,WH,BI,2022-02-18
311,204,UW00,WH,BI,2022-01-12
311,205,UW00,WH,BI,2022-03-30
311,206,UW00,BI,BI,2022-01-13
311,207,UW00,BI,BI,2022-04-02
311,208,UW00,BI,BI,2022-05-08
311,209,UW00,WH,BI,2022-03-13
311,210,UW00,BI,BI,2022-01-16
311,211,UW00,WH,BI,2022-02-21
311,212,UW00,WH,BI,2022-01-01
311,213,UW00,BI,BI,2022-01-22
311,214,UW00,WH,BI,2022-01-22
311,215,UW00,BI,BI,2022-01-10
311,216,UW00,BI,BI,2022-01-08
311,217,UW00,BI,BI,2022-04-03
311,218,UW00,BI,BI,2022-01-18
311,219,UW00,BI,BI,2022-01-24
311,220,UW00,BI,BI,2022-01-11
311,221,UW00,WH,BI,2022-01-01
311,222,UW00,WH,BI,2022-01-23
311,223,UW00,BI,BI,2022-01-30
311,224,UW00,WH,BI,2022-03-23
311,225,UW00,WH,BI,2022-02-16
311,226,UW00,WH,BI,2022-01-01
311,227,UW00,BI,BI,2022-02-17
311,228,UW00,WH,BI,2022-03-23
311,229,UW00,WH,BI,2022-01-01
311,230,UW00,BI,BI,2022-01-28
311,231,UW00,WH,BI,2022-07-10
311,232,UW00,WH,BI,2022-01-15
311,233,UW00,WH,BI,2022-01-11
311,234,UW00,WH,BI,2022-06-12
311,235,UW00,WH,BI,2022-03-02
311,236,UW00,WH,BI,2022-01-17
311,237,UW00,WH,BI,2022-02-01
311,238,UW00,BI,BI,2022-01-03
311,239,UW00,WH,BI,2022-02-21
311,240,UW00,WH,BI,2022-01-20
311,241,UW00,WH,BI,2022-10-06
311,242,UW00,WH,BI,2022-02-01
311,243,UW00,BI,BI,2022-01-02
311,244,UW00,BI,BI,2022-01-03
311,245,UW00,BI,BI,2022-01-06
311,246,UW00,WH,BI,2022-01-01
311,247,UW00,BI,BI,2022-01-12
311,248,UW00,WH,BI,2022-02-07
311,249,UW00,BI,BI,2022-03-12
311,250,UW00,BI,BI,2022-01-11
311,251,UW00,WH,BI,2022-08-31
311,252,UW00,BI,BI,2022-01-01
311,253,UW00,BI,BI,2022-02-20
311,254,UW00,BI,BI,2022-02-17
311,255,UW00,WH,BI,2022-01-05
311,256,UW00,WH,BI,2022-01-12
311,257,UW00,BI,BI,2022-01-02
311,258,UW00,WH,BI,2022-01-27
311,259,UW00,WH,BI,2022-05-07
311,260,UW00,WH,BI,2022-01-03
311,261,UW00,BI,BI,2022-02-10
311,262,UW00,WH,BI,2022-01-18
311,263,UW00,BI,BI,2022-01-02
311,264,UW00,WH,BI,2022-01-03
311,265,UW00,WH,BI,2022-11-17
311,266,UW00,BI,BI,2022-01-03
311,267,UW00,BI,BI,2022-01-24
311,268,UW00,WH,BI,2022-07-28
311,269,UW00,BI,BI,2022-02-05
311,270,UW00,BI,BI,2022-01-08
311,271,UW00,WH,BI,2022-03-18
311,272,UW00,BI,BI,2022-01-11
311,273,UW00,WH,BI,2022-04-01
311,274,UW00,WH,BI,2022-01-21
311,275,UW00,BI,BI,2022-01-11
311,276,UW00,WH,BI,2022-02-09
311,277,UW00,WH,BI,2022-01-09
311,278,UW00,WH,BI,2022-01-26
311,279,UW00,BI,BI,2022-04-16
311,280,UW00,BI,BI,2022-02-03
311,281,UW00,WH,BI,2022-01-04
311,282,UW00,BI,BI,2022-06-29
311,283,UW00,WH,BI,2022-01-09
311,284,UW00,BI,BI,2022-01-14
311,285,UW00,BI,BI,2022-09-17
311,286,UW00,BI,BI,2022-04-19
311,287,UW00,WH,BI,2022-01-31
311,288,UW00,WH,BI,2022-01-16
311,289,UW00,BI,BI,2022-01-03
311,290,UW00,BI,BI,2022-01-12
311,291,UW00,WH,BI,2022-04-28
311,292,UW00,WH,BI,2022-01-05
311,293,UW00,BI,BI,2022-01-13
311,294,UW00,WH,BI,2022-02-02
311,295,UW00,BI,BI,2022-02-02
311,296,UW00,WH,BI,2022-01-19
311,297,UW00,BI,BI,2022-11-19
311,298,UW00,BI,BI,2022-01-02
311,299,UW00,WH,BI,2023-12-09
311,300,UW00,WH,BI,2022-05-02
311,301,UW00,WH,BI,2022-02-01
311,302,UW00,WH,BI,2022-02-03
311,303,UW00,WH,BI,2022-01-09
311,304,UW00,BI,BI,2022-10-26
311,305,UW00,WH,BI,2022-02-19
311,306,UW00,BI,BI,2022-01-04
311,307,UW00,WH,BI,2022-01-27
311,308,UW00,WH,BI,2022-01-31
311,309,UW00,BI,BI,2022-02-09
311,310,UW00,BI,BI,2022-03-27
311,311,UW00,WH,BI,2022-03-24
311,312,UW00,BI,BI,2022-01-06
311,313,UW00,WH,BI,2022-04-24
311,314,UW00,WH,BI,2022-01-07
311,315,UW00,WH,BI,2022-03-14
311,316,UW00,BI,BI,2022-02-24
311,317,UW00,BI,BI,2022-01-15
311,318,UW00,WH,BI,2022-01-01
311,319,UW00,WH,BI,2022-02-22
311,320,UW00,WH,BI,2022-07-08
311,321,UW00,WH,BI,2022-02-06
311,322,UW00,BI,BI,2022-08-26
311,323,UW00,WH,BI,2022-01-22
311,324,UW00,WH,BI,2022-01-23
311,325,UW00,BI,BI,2022-04-02
311,326,UW00,BI,BI,2022-01-02
311,327,UW00,WH,BI,2022-02-13
311,328,UW00,BI,BI,2022-02-20
