VBELN,KUNNR,ERDAT,NETWR,WAERS,AUART
1,3822,2022-01-01,14501.99,USD,OR
2,3151,2022-01-01,122722.77,USD,OR
3,2672,2022-01-01,128284.0,USD,OR
4,2946,2022-01-01,292347.05,USD,OR
5,1774,2022-01-01,4631.04,USD,OR
6,3534,2022-01-01,78893.94,USD,OR
7,586,2022-01-01,15159.61,USD,OR
8,3739,2022-01-01,14635.84,USD,OR
9,2781,2022-01-01,105483.94,USD,OR
10,992,2022-01-01,45041.83,USD,OR
11,1026,2022-01-01,168978.87,USD,OR
12,4966,2022-01-01,32637.18,USD,OR
13,1759,2022-01-01,3399.37,USD,OR
14,1185,2022-01-01,60344.8,USD,OR
15,4407,2022-01-01,20999.73,USD,OR
16,2801,2022-01-01,87297.19,USD,OR
17,1182,2022-01-01,82836.73,USD,OR
18,4671,2022-01-01,28651.31,USD,OR
19,1413,2022-01-01,13162.1,USD,OR
20,404,2022-01-01,34016.72,USD,OR
21,212,2022-01-01,127343.19,USD,OR
22,1808,2022-01-01,29077.4,USD,OR
23,96,2022-01-01,25387.53,USD,OR
24,2765,2022-01-01,66041.71,USD,OR
25,4385,2022-01-01,15593.92,USD,OR
26,4324,2022-01-01,47770.06,USD,OR
27,4914,2022-01-01,8715.8,USD,OR
28,695,2022-01-01,48929.81,USD,OR
29,3644,2022-01-01,10989.98,USD,OR
30,3405,2022-01-01,481111.0,USD,OR
31,145,2022-01-01,17674.25,USD,OR
32,3409,2022-01-01,9573.37,USD,OR
33,2486,2022-01-01,31621.4,USD,OR
34,2145,2022-01-01,68176.43,USD,OR
35,4147,2022-01-01,24279.83,USD,OR
36,2956,2022-01-01,16857.44,USD,OR
37,252,2022-01-01,120371.15,USD,OR
38,2302,2022-01-01,10770.85,USD,OR
39,1750,2022-01-01,96518.72,USD,OR
40,2898,2022-01-01,142280.59,USD,OR
41,669,2022-01-01,50894.25,USD,OR
42,2348,2022-01-01,18680.1,USD,OR
43,221,2022-01-01,27297.27,USD,OR
44,4826,2022-01-01,37880.91,USD,OR
45,3066,2022-01-01,36219.0,USD,OR
46,1721,2022-01-01,251426.65,USD,OR
47,3202,2022-01-01,13175.88,USD,OR
48,2833,2022-01-01,83139.72,USD,OR
49,4989,2022-01-01,64912.23,USD,OR
50,4420,2022-01-01,99613.92,USD,OR
51,4434,2022-01-01,21800.63,USD,OR
52,2170,2022-01-01,58149.36,USD,OR
53,1712,2022-01-01,115033.06,USD,OR
54,830,2022-01-01,30044.79,USD,OR
55,1461,2022-01-01,9425.64,USD,OR
56,3185,2022-01-01,131133.49,USD,OR
57,2051,2022-01-01,6805.02,USD,OR
58,1125,2022-01-01,44593.88,USD,OR
59,338,2022-01-01,127493.12,USD,OR
60,1152,2022-01-01,86989.94,USD,OR
61,4978,2022-01-01,15474.97,USD,OR
62,3463,2022-01-01,89878.98,USD,OR
63,4453,2022-01-01,17743.91,USD,OR
64,4411,2022-01-01,131324.11,USD,OR
65,2987,2022-01-01,41006.4,USD,OR
66,229,2022-01-01,16955.48,USD,OR
67,4118,2022-01-01,55594.34,USD,OR
68,1167,2022-01-01,79241.91,USD,OR
69,2189,2022-01-01,35083.87,USD,OR
70,1003,2022-01-01,85746.53,USD,OR
71,1480,2022-01-01,57384.16,USD,OR
72,226,2022-01-01,24928.74,USD,OR
73,1165,2022-01-01,97078.39,USD,OR
74,2012,2022-01-01,37100.54,USD,OR
75,1435,2022-01-01,26658.66,USD,OR
76,4735,2022-01-01,45387.04,USD,OR
77,3214,2022-01-01,23172.57,USD,OR
78,2604,2022-01-01,16446.54,USD,OR
79,4842,2022-01-01,29118.62,USD,OR
80,4844,2022-01-01,10383.18,USD,OR
81,246,2022-01-01,7572.33,USD,OR
82,4920,2022-01-01,239146.25,USD,OR
83,82,2022-01-01,47183.84,USD,OR
84,4938,2022-01-01,27478.87,USD,OR
85,1928,2022-01-01,15387.62,USD,OR
86,487,2022-01-01,87678.21,USD,OR
87,2633,2022-01-01,53993.9,USD,OR
88,3352,2022-01-01,13762.56,USD,OR
89,503,2022-01-01,465660.97,USD,OR
90,2515,2022-01-01,65330.1,USD,OR
91,1855,2022-01-01,29746.21,USD,OR
