VBELN,POSNR,MATNR,KWMENG,NETPR,NETWR
1,10,PUMP1000,13,1003.95,13051.33
1,20,PRTR1000,18,80.59,1450.66
2,10,PUMP1000,11,1498.74,16486.13
2,20,ORMN1000,2,5140.16,10280.32
2,30,DXTR1000,14,4916.63,68832.84
2,40,PRTR1000,16,1695.22,27123.48
3,10,PRTR1000,10,3581.25,35812.53
3,20,ORMN1000,4,18835.72,75342.89
3,30,PRTR1000,2,8564.29,17128.58
4,10,EPAD1000,1,292347.05,292347.05
5,10,BOTL1000,24,32.95,790.84
5,20,ORMN1000,10,384.02,3840.2
6,10,PUMP1000,17,4115.35,69960.95
6,20,PRTR1000,5,1786.6,8932.99
7,10,BOTL1000,23,659.11,15159.61
8,10,PUMP1000,2,7317.92,14635.84
9,10,DXTR1000,2,52741.97,105483.94
10,10,ORMN1000,7,101.88,713.15
10,20,PRTR1000,7,3437.44,24062.09
10,30,ORMN1000,10,2026.66,20266.59
11,10,ORMN1000,6,12678.87,76073.24
11,20,DXTR1000,4,16516.38,66065.52
11,30,BOTL1000,20,1342.01,26840.11
12,10,BOTL1000,12,2719.76,32637.18
13,10,PRTR1000,19,24.03,456.52
13,20,DXTR1000,6,264.79,1588.71
13,30,BOTL1000,10,135.41,1354.14
14,10,DXTR1000,22,2390.43,52589.44
14,20,EPAD1000,4,1233.71,4934.84
14,30,DXTR1000,2,1410.26,2820.52
15,10,PUMP1000,23,136.72,3144.47
15,20,BOTL1000,15,376.92,5653.84
15,30,ORMN1000,12,595.92,7150.98
15,40,PRTR1000,11,459.13,5050.44
16,10,EPAD1000,25,3491.89,87297.19
17,10,EPAD1000,23,373.8,8597.3
17,20,EPAD1000,4,18559.86,74239.43
18,10,PRTR1000,8,1317.89,10543.14
18,20,BOTL1000,5,2187.92,10939.58
18,30,ORMN1000,9,796.51,7168.59
19,10,EPAD1000,11,95.73,1053.05
19,20,DXTR1000,16,329.26,5268.11
19,30,EPAD1000,3,632.39,1897.17
19,40,ORMN1000,4,1235.94,4943.77
20,10,BOTL1000,5,1565.53,7827.65
20,20,EPAD1000,4,724.66,2898.64
20,30,DXTR1000,23,566.63,13032.59
20,40,BOTL1000,11,932.53,10257.84
21,10,EPAD1000,18,7074.62,127343.19
22,10,EPAD1000,16,871.23,13939.71
22,20,ORMN1000,3,1877.2,5631.61
22,30,PUMP1000,7,821.77,5752.37
22,40,EPAD1000,19,197.56,3753.7
23,10,DXTR1000,22,368.42,8105.28
23,20,PUMP1000,24,203.75,4889.95
23,30,EPAD1000,19,522.05,9918.96
23,40,BOTL1000,4,618.34,2473.34
24,10,DXTR1000,13,1405.24,18268.14
24,20,DXTR1000,20,274.14,5482.72
24,30,BOTL1000,22,1136.2,24996.38
24,40,EPAD1000,25,691.78,17294.47
25,10,BOTL1000,5,1238.24,6191.2
25,20,PUMP1000,25,330.75,8268.77
25,30,PRTR1000,1,1133.95,1133.95
26,10,BOTL1000,20,1453.27,29065.5
26,20,PRTR1000,15,1246.97,18704.56
27,10,PUMP1000,19,313.22,5951.18
27,20,EPAD1000,10,276.46,2764.62
28,10,EPAD1000,17,1304.77,22181.05
28,20,ORMN1000,5,2610.45,13052.24
28,30,ORMN1000,2,6848.26,13696.51
29,10,ORMN1000,18,610.55,10989.98
30,10,PRTR1000,1,481111.0,481111.0
31,10,EPAD1000,13,531.16,6905.08
31,20,PRTR1000,18,215.38,3876.92
31,30,PRTR1000,22,142.19,3128.21
31,40,PRTR1000,16,235.25,3764.04
32,10,EPAD1000,12,316.79,3801.44
32,20,ORMN1000,5,1154.39,5771.93
33,10,PRTR1000,1,20609.5,20609.5
33,20,EPAD1000,24,458.83,11011.9
34,10,PUMP1000,15,2157.52,32362.78
34,20,EPAD1000,20,225.34,4506.86
34,30,PRTR1000,20,227.74,4554.81
34,40,BOTL1000,15,1783.47,26751.98
35,10,DXTR1000,20,434.28,8685.67
35,20,EPAD1000,19,372.67,7080.79
35,30,PRTR1000,24,232.93,5590.22
35,40,BOTL1000,23,127.09,2923.14
36,10,BOTL1000,2,2615.49,5230.97
36,20,PUMP1000,16,434.63,6954.04
36,30,DXTR1000,12,389.37,4672.43
37,10,ORMN1000,25,2014.72,50367.98
37,20,BOTL1000,15,279.54,4193.05
37,30,BOTL1000,3,12747.05,38241.16
37,40,DXTR1000,20,1378.45,27568.96
38,10,DXTR1000,22,190.51,4191.21
38,20,PUMP1000,22,299.07,6579.64
39,10,EPAD1000,1,28839.97,28839.97
39,20,BOTL1000,15,2833.9,42508.5
39,30,BOTL1000,16,1573.14,25170.24
40,10,PRTR1000,10,2748.04,27480.44
40,20,PUMP1000,2,31349.39,62698.77
40,30,PUMP1000,20,2605.07,52101.38
41,10,BOTL1000,16,1710.25,27363.95
41,20,BOTL1000,6,3536.41,21218.47
41,30,PUMP1000,2,1155.91,2311.83
42,10,PRTR1000,3,2928.3,8784.89
42,20,DXTR1000,17,398.84,6780.3
42,30,ORMN1000,9,346.1,3114.92
43,10,DXTR1000,9,2096.19,18865.68
43,20,DXTR1000,24,351.32,8431.59
44,10,EPAD1000,22,950.29,20906.33
